date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:56	6463/6463	---M--	200	added ('OK')	image/png	etag:%22193f-60538466b2b80%22	https://bnc100.com/static/home/images/ho2_31.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/ho2_31.png	(from http://www.bnc100.com/)
10:11:59	12355/12355	---M--	200	added ('OK')	image/png	etag:%223043-6053845958c00%22	https://bnc100.com/static/home/images/ho2_32.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/ho2_32.png	(from http://www.bnc100.com/)
10:11:59	244972/244972	---M--	200	added ('OK')	image/jpeg	etag:%223bcec-60537b6e40180%22	http://www.bnc100.com/static/home/images/ho2_bg.jpg	D:/My%20Web%20Sites/copy/www.bnc100.com/static/home/images/ho2_bg.jpg	(from http://www.bnc100.com/)
10:12:00	7939/7939	---M--	200	added ('OK')	image/png	etag:%221f03-60538342dfb00%22	https://bnc100.com/static/home/images/ho2_11.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/ho2_11.png	(from http://www.bnc100.com/)
10:12:02	13677/13677	---M--	200	added ('OK')	image/png	etag:%22356d-6053839e6d300%22	https://bnc100.com/static/home/images/ho2_12.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/ho2_12.png	(from http://www.bnc100.com/)
10:12:03	7161/7161	---M--	200	added ('OK')	image/png	etag:%221bf9-6053848ec0a00%22	https://bnc100.com/static/home/images/ho2_41.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/ho2_41.png	(from http://www.bnc100.com/)
10:12:04	19879/19879	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:03%20GMT	http://www.bnc100.com/service.html	D:/My%20Web%20Sites/copy/www.bnc100.com/service-2.html	(from http://www.bnc100.com/)
10:12:05	12748/12748	---M--	200	added ('OK')	image/png	etag:%2231cc-605384a1d3700%22	https://bnc100.com/static/home/images/ho2_42.png	D:/My%20Web%20Sites/copy/bnc100.com/static/home/images/ho2_42.png	(from http://www.bnc100.com/)
10:12:05	18297/18297	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:05%20GMT	http://www.bnc100.com/ganxibao.html	D:/My%20Web%20Sites/copy/www.bnc100.com/ganxibao.html	(from http://www.bnc100.com/)
10:12:05	18297/18297	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:05%20GMT	http://www.bnc100.com/detail/45.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/45.html	(from http://www.bnc100.com/)
10:12:06	26600/26600	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:05%20GMT	http://www.bnc100.com/detail/44.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/44.html	(from http://www.bnc100.com/)
10:12:06	26600/26600	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:06%20GMT	http://www.bnc100.com/detail/43.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/43.html	(from http://www.bnc100.com/)
10:12:06	26600/26600	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:06%20GMT	http://www.bnc100.com/detail/42.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/42.html	(from http://www.bnc100.com/)
10:12:07	26600/26600	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:06%20GMT	http://www.bnc100.com/detail/41.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/41.html	(from http://www.bnc100.com/)
10:12:07	18535/18535	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:07%20GMT	http://www.bnc100.com/detail/40.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/40.html	(from http://www.bnc100.com/)
10:12:07	18535/18535	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:07%20GMT	http://www.bnc100.com/detail/27.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/27.html	(from http://www.bnc100.com/)
10:12:08	18535/18535	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202026%2002:12:07%20GMT	http://www.bnc100.com/detail/26.html	D:/My%20Web%20Sites/copy/www.bnc100.com/detail/26.html	(from http://www.bnc100.com/)
